
# Curve 0 of 1, 500 points
# Curve title: "2*1/x * besy1(x) - besy0(x)"
# x y type
0.0000000e+00 0.0000000e+00  u
4.3286573e+00 2.9762166e-01  i
4.3406814e+00 3.0006298e-01  i
4.3527054e+00 3.0246343e-01  i
4.3647295e+00 3.0482281e-01  i
4.3767535e+00 3.0714093e-01  i
4.3887776e+00 3.0941760e-01  i
4.4008016e+00 3.1165265e-01  i
4.4128257e+00 3.1384590e-01  i
4.4248497e+00 3.1599718e-01  i
4.4368737e+00 3.1810631e-01  i
4.4488978e+00 3.2017314e-01  i
4.4609218e+00 3.2219751e-01  i
4.4729459e+00 3.2417926e-01  i
4.4849699e+00 3.2611824e-01  i
4.4969940e+00 3.2801430e-01  i
4.5090180e+00 3.2986731e-01  i
4.5210421e+00 3.3167713e-01  i
4.5330661e+00 3.3344363e-01  i
4.5450902e+00 3.3516667e-01  i
4.5571142e+00 3.3684614e-01  i
4.5691383e+00 3.3848191e-01  i
4.5811623e+00 3.4007388e-01  i
4.5931864e+00 3.4162193e-01  i
4.6052104e+00 3.4312596e-01  i
4.6172345e+00 3.4458587e-01  i
4.6292585e+00 3.4600156e-01  i
4.6412826e+00 3.4737294e-01  i
4.6533066e+00 3.4869994e-01  i
4.6653307e+00 3.4998246e-01  i
4.6773547e+00 3.5122044e-01  i
4.6893788e+00 3.5241379e-01  i
4.7014028e+00 3.5356246e-01  i
4.7134269e+00 3.5466638e-01  i
4.7254509e+00 3.5572550e-01  i
4.7374749e+00 3.5673977e-01  i
4.7494990e+00 3.5770913e-01  i
4.7615230e+00 3.5863355e-01  i
4.7735471e+00 3.5951299e-01  i
4.7855711e+00 3.6034742e-01  i
4.7975952e+00 3.6113681e-01  i
4.8096192e+00 3.6188114e-01  i
4.8216433e+00 3.6258039e-01  i
4.8336673e+00 3.6323456e-01  i
4.8456914e+00 3.6384363e-01  i
4.8577154e+00 3.6440760e-01  i
4.8697395e+00 3.6492648e-01  i
4.8817635e+00 3.6540027e-01  i
4.8937876e+00 3.6582899e-01  i
4.9058116e+00 3.6621265e-01  i
4.9178357e+00 3.6655128e-01  i
4.9298597e+00 3.6684491e-01  i
4.9418838e+00 3.6709357e-01  i
4.9539078e+00 3.6729730e-01  i
4.9659319e+00 3.6745615e-01  i
4.9779559e+00 3.6757015e-01  i
4.9899800e+00 3.6763937e-01  i
5.0020040e+00 3.6766386e-01  i
5.0140281e+00 3.6764369e-01  i
5.0260521e+00 3.6757893e-01  i
5.0380762e+00 3.6746964e-01  i
5.0501002e+00 3.6731592e-01  i
5.0621242e+00 3.6711784e-01  i
5.0741483e+00 3.6687549e-01  i
5.0861723e+00 3.6658896e-01  i
5.0981964e+00 3.6625836e-01  i
5.1102204e+00 3.6588379e-01  i
5.1222445e+00 3.6546535e-01  i
5.1342685e+00 3.6500317e-01  i
5.1462926e+00 3.6449736e-01  i
5.1583166e+00 3.6394804e-01  i
5.1703407e+00 3.6335534e-01  i
5.1823647e+00 3.6271940e-01  i
5.1943888e+00 3.6204036e-01  i
5.2064128e+00 3.6131835e-01  i
5.2184369e+00 3.6055353e-01  i
5.2304609e+00 3.5974606e-01  i
5.2424850e+00 3.5889608e-01  i
5.2545090e+00 3.5800376e-01  i
5.2665331e+00 3.5706927e-01  i
5.2785571e+00 3.5609279e-01  i
5.2905812e+00 3.5507449e-01  i
5.3026052e+00 3.5401455e-01  i
5.3146293e+00 3.5291315e-01  i
5.3266533e+00 3.5177050e-01  i
5.3386774e+00 3.5058679e-01  i
5.3507014e+00 3.4936222e-01  i
5.3627255e+00 3.4809699e-01  i
5.3747495e+00 3.4679132e-01  i
5.3867735e+00 3.4544541e-01  i
5.3987976e+00 3.4405950e-01  i
5.4108216e+00 3.4263380e-01  i
5.4228457e+00 3.4116855e-01  i
5.4348697e+00 3.3966397e-01  i
5.4468938e+00 3.3812031e-01  i
5.4589178e+00 3.3653780e-01  i
5.4709419e+00 3.3491670e-01  i
5.4829659e+00 3.3325726e-01  i
5.4949900e+00 3.3155972e-01  i
5.5070140e+00 3.2982435e-01  i
5.5190381e+00 3.2805142e-01  i
5.5310621e+00 3.2624120e-01  i
5.5430862e+00 3.2439394e-01  i
5.5551102e+00 3.2250994e-01  i
5.5671343e+00 3.2058948e-01  i
5.5791583e+00 3.1863283e-01  i
5.5911824e+00 3.1664030e-01  i
5.6032064e+00 3.1461216e-01  i
5.6152305e+00 3.1254873e-01  i
5.6272545e+00 3.1045029e-01  i
5.6392786e+00 3.0831717e-01  i
5.6513026e+00 3.0614966e-01  i
5.6633267e+00 3.0394807e-01  i
5.6753507e+00 3.0171274e-01  i
5.6873747e+00 2.9944397e-01  i
5.6993988e+00 2.9714210e-01  i
5.7114228e+00 2.9480745e-01  i
5.7234469e+00 2.9244035e-01  i
5.7354709e+00 2.9004114e-01  i
5.7474950e+00 2.8761016e-01  i
5.7595190e+00 2.8514775e-01  i
5.7715431e+00 2.8265426e-01  i
5.7835671e+00 2.8013004e-01  i
5.7955912e+00 2.7757545e-01  i
5.8076152e+00 2.7499083e-01  i
5.8196393e+00 2.7237655e-01  i
5.8316633e+00 2.6973297e-01  i
5.8436874e+00 2.6706047e-01  i
5.8557114e+00 2.6435940e-01  i
5.8677355e+00 2.6163015e-01  i
5.8797595e+00 2.5887309e-01  i
5.8917836e+00 2.5608860e-01  i
5.9038076e+00 2.5327706e-01  i
5.9158317e+00 2.5043886e-01  i
5.9278557e+00 2.4757439e-01  i
5.9398798e+00 2.4468403e-01  i
5.9519038e+00 2.4176818e-01  i
5.9639279e+00 2.3882725e-01  i
5.9759519e+00 2.3586162e-01  i
5.9879760e+00 2.3287170e-01  i
6.0000000e+00 2.2985790e-01  i

