
# Curve 0 of 1, 500 points
# Curve title: "2*1/x * besj1(x) - besj0(x)"
# x y type
0.0000000e+00 0.0000000e+00  u
5.2785571e+00 -4.7748258e-02  i
5.2905812e+00 -5.1679417e-02  i
5.3026052e+00 -5.5595256e-02  i
5.3146293e+00 -5.9495339e-02  i
5.3266533e+00 -6.3379233e-02  i
5.3386774e+00 -6.7246507e-02  i
5.3507014e+00 -7.1096732e-02  i
5.3627255e+00 -7.4929482e-02  i
5.3747495e+00 -7.8744332e-02  i
5.3867735e+00 -8.2540859e-02  i
5.3987976e+00 -8.6318645e-02  i
5.4108216e+00 -9.0077271e-02  i
5.4228457e+00 -9.3816323e-02  i
5.4348697e+00 -9.7535388e-02  i
5.4468938e+00 -1.0123406e-01  i
5.4589178e+00 -1.0491192e-01  i
5.4709419e+00 -1.0856857e-01  i
5.4829659e+00 -1.1220361e-01  i
5.4949900e+00 -1.1581664e-01  i
5.5070140e+00 -1.1940727e-01  i
5.5190381e+00 -1.2297509e-01  i
5.5310621e+00 -1.2651972e-01  i
5.5430862e+00 -1.3004076e-01  i
5.5551102e+00 -1.3353785e-01  i
5.5671343e+00 -1.3701058e-01  i
5.5791583e+00 -1.4045860e-01  i
5.5911824e+00 -1.4388150e-01  i
5.6032064e+00 -1.4727894e-01  i
5.6152305e+00 -1.5065053e-01  i
5.6272545e+00 -1.5399592e-01  i
5.6392786e+00 -1.5731473e-01  i
5.6513026e+00 -1.6060661e-01  i
5.6633267e+00 -1.6387120e-01  i
5.6753507e+00 -1.6710816e-01  i
5.6873747e+00 -1.7031712e-01  i
5.6993988e+00 -1.7349776e-01  i
5.7114228e+00 -1.7664971e-01  i
5.7234469e+00 -1.7977266e-01  i
5.7354709e+00 -1.8286626e-01  i
5.7474950e+00 -1.8593018e-01  i
5.7595190e+00 -1.8896410e-01  i
5.7715431e+00 -1.9196769e-01  i
5.7835671e+00 -1.9494063e-01  i
5.7955912e+00 -1.9788261e-01  i
5.8076152e+00 -2.0079331e-01  i
5.8196393e+00 -2.0367244e-01  i
5.8316633e+00 -2.0651968e-01  i
5.8436874e+00 -2.0933474e-01  i
5.8557114e+00 -2.1211732e-01  i
5.8677355e+00 -2.1486713e-01  i
5.8797595e+00 -2.1758388e-01  i
5.8917836e+00 -2.2026729e-01  i
5.9038076e+00 -2.2291709e-01  i
5.9158317e+00 -2.2553299e-01  i
5.9278557e+00 -2.2811473e-01  i
5.9398798e+00 -2.3066205e-01  i
5.9519038e+00 -2.3317467e-01  i
5.9639279e+00 -2.3565235e-01  i
5.9759519e+00 -2.3809483e-01  i
5.9879760e+00 -2.4050186e-01  i
6.0000000e+00 -2.4287321e-01  i

